shim      C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\pinned\simlab-forge-shim.jar (sha256 c50a9cc2c51d4634)
forge     C:\Users\Vatto\forge\forge-gui-desktop-2.0.13-jar-with-dependencies.jar
cohort    8 decks x 4 rotations x 3 chunks = 96 cells of 8 games
          768 games total, clock 1260s
already done 0, to run 96
estimate  77.4 h serial / 4.8 h at 16 workers, at a measured-floor 363 s/game
plans     Planeswalker Party -> ['Planeswalker Party [CMM] [2023]']
plans     Tricky Terrain -> ['Tricky Terrain [M3C] [2024]']
plans     Explorers of the Deep -> ['Explorers of the Deep [LCC] [2023]']
plans     Doom Prevails -> ['Doom Prevails [MSC] [2026]']
plans     Blight Curse -> ['Blight Curse [ECC] [2026]']
plans     Mutant Menace -> ['Mutant Menace [PIP] [2024]']
plans     Grand Larceny -> ['Grand Larceny [OTC] [2024]']
plans     Deadly Disguise -> ['Deadly Disguise [MKC] [2024]']
[1/96] Planeswalker Party rot3 c1 (D/A/B/C)  8g in 52.1m, censored 1, wins {'A': 2, 'B': 3, 'C': 2, 'D': 0}  [0.15 games/min]
[2/96] Planeswalker Party rot2 c0 (C/D/A/B)  8g in 77.1m, censored 1, wins {'A': 2, 'B': 1, 'C': 3, 'D': 1}  [0.21 games/min]
[3/96] Planeswalker Party rot1 c0 (B/C/D/A)  8g in 84.9m, censored 0, wins {'A': 1, 'B': 3, 'C': 1, 'D': 3}  [0.28 games/min]
[4/96] Planeswalker Party rot0 c0 (A/B/C/D)  8g in 85.9m, censored 1, wins {'A': 2, 'B': 1, 'C': 2, 'D': 2}  [0.37 games/min]
[5/96] Planeswalker Party rot1 c2 (B/C/D/A)  8g in 88.2m, censored 2, wins {'A': 1, 'B': 2, 'C': 2, 'D': 1}  [0.45 games/min]
[6/96] Planeswalker Party rot2 c2 (C/D/A/B)  8g in 90.0m, censored 2, wins {'A': 2, 'B': 2, 'C': 1, 'D': 1}  [0.53 games/min]
[7/96] Planeswalker Party rot0 c1 (A/B/C/D)  8g in 94.6m, censored 2, wins {'A': 0, 'B': 1, 'C': 2, 'D': 3}  [0.59 games/min]
[8/96] Planeswalker Party rot3 c0 (D/A/B/C)  8g in 95.4m, censored 1, wins {'A': 1, 'B': 2, 'C': 2, 'D': 2}  [0.67 games/min]
[9/96] Planeswalker Party rot0 c2 (A/B/C/D)  8g in 95.5m, censored 2, wins {'A': 1, 'B': 2, 'C': 1, 'D': 2}  [0.75 games/min]
[10/96] Planeswalker Party rot3 c2 (D/A/B/C)  8g in 96.8m, censored 1, wins {'A': 1, 'B': 3, 'C': 1, 'D': 2}  [0.83 games/min]
[11/96] Planeswalker Party rot2 c1 (C/D/A/B)  8g in 109.2m, censored 3, wins {'A': 2, 'B': 1, 'C': 1, 'D': 1}  [0.81 games/min]
[12/96] Planeswalker Party rot1 c1 (B/C/D/A)  8g in 112.5m, censored 4, wins {'A': 0, 'B': 1, 'C': 1, 'D': 2}  [0.85 games/min]
[13/96] Explorers of the Deep rot0 c0 (A/B/C/D)  8g in 28.6m, censored 0, wins {'A': 1, 'B': 4, 'C': 2, 'D': 1}  [0.84 games/min]
[14/96] Explorers of the Deep rot0 c1 (A/B/C/D)  8g in 39.6m, censored 1, wins {'A': 3, 'B': 0, 'C': 1, 'D': 3}  [0.82 games/min]
[15/96] Explorers of the Deep rot1 c0 (B/C/D/A)  8g in 29.4m, censored 0, wins {'A': 0, 'B': 2, 'C': 2, 'D': 4}  [0.85 games/min]
[16/96] Explorers of the Deep rot1 c1 (B/C/D/A)  8g in 28.1m, censored 0, wins {'A': 1, 'B': 2, 'C': 3, 'D': 2}  [0.84 games/min]
[17/96] Explorers of the Deep rot0 c2 (A/B/C/D)  8g in 46.9m, censored 0, wins {'A': 2, 'B': 4, 'C': 0, 'D': 2}  [0.87 games/min]
[18/96] Explorers of the Deep rot2 c0 (C/D/A/B)  8g in 25.5m, censored 0, wins {'A': 4, 'B': 2, 'C': 2, 'D': 0}  [0.86 games/min]
[19/96] Tricky Terrain rot0 c2 (A/B/C/D)  8g in 169.8m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [0.90 games/min]
[20/96] Tricky Terrain rot1 c0 (B/C/D/A)  8g in 170.1m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [0.94 games/min]
[21/96] Tricky Terrain rot0 c0 (A/B/C/D)  8g in 170.2m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [0.99 games/min]
[22/96] Tricky Terrain rot0 c1 (A/B/C/D)  8g in 170.4m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.03 games/min]
[23/96] Explorers of the Deep rot2 c2 (C/D/A/B)  8g in 16.9m, censored 0, wins {'A': 6, 'B': 1, 'C': 1, 'D': 0}  [1.06 games/min]
[24/96] Explorers of the Deep rot2 c1 (C/D/A/B)  8g in 24.5m, censored 0, wins {'A': 2, 'B': 2, 'C': 2, 'D': 2}  [1.09 games/min]
[25/96] Explorers of the Deep rot3 c2 (D/A/B/C)  8g in 24.4m, censored 0, wins {'A': 2, 'B': 1, 'C': 4, 'D': 1}  [1.03 games/min]
[26/96] Doom Prevails rot1 c0 (B/C/D/A)  8g in 18.6m, censored 0, wins {'A': 0, 'B': 4, 'C': 1, 'D': 3}  [1.07 games/min]
[27/96] Doom Prevails rot0 c2 (A/B/C/D)  8g in 23.3m, censored 0, wins {'A': 1, 'B': 1, 'C': 5, 'D': 1}  [1.10 games/min]
[28/96] Doom Prevails rot0 c0 (A/B/C/D)  8g in 27.4m, censored 0, wins {'A': 4, 'B': 0, 'C': 3, 'D': 1}  [1.13 games/min]
[29/96] Explorers of the Deep rot1 c2 (B/C/D/A)  8g in 63.6m, censored 2, wins {'A': 2, 'B': 2, 'C': 0, 'D': 2}  [1.16 games/min]
[30/96] Doom Prevails rot1 c1 (B/C/D/A)  8g in 17.8m, censored 0, wins {'A': 5, 'B': 1, 'C': 1, 'D': 1}  [1.13 games/min]
[31/96] Doom Prevails rot0 c1 (A/B/C/D)  8g in 43.8m, censored 0, wins {'A': 2, 'B': 2, 'C': 3, 'D': 1}  [1.16 games/min]
[32/96] Explorers of the Deep rot3 c1 (D/A/B/C)  8g in 45.9m, censored 1, wins {'A': 4, 'B': 0, 'C': 1, 'D': 2}  [1.19 games/min]
[33/96] Doom Prevails rot2 c1 (C/D/A/B)  8g in 20.8m, censored 0, wins {'A': 0, 'B': 2, 'C': 3, 'D': 3}  [1.21 games/min]
[34/96] Doom Prevails rot2 c0 (C/D/A/B)  8g in 24.2m, censored 0, wins {'A': 3, 'B': 3, 'C': 1, 'D': 1}  [1.23 games/min]
[35/96] Tricky Terrain rot1 c1 (B/C/D/A)  8g in 169.1m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.27 games/min]
[36/96] Doom Prevails rot2 c2 (C/D/A/B)  8g in 23.1m, censored 0, wins {'A': 4, 'B': 2, 'C': 0, 'D': 2}  [1.29 games/min]
[37/96] Doom Prevails rot1 c2 (B/C/D/A)  8g in 37.6m, censored 0, wins {'A': 0, 'B': 2, 'C': 3, 'D': 3}  [1.27 games/min]
[38/96] Doom Prevails rot3 c2 (D/A/B/C)  8g in 18.5m, censored 0, wins {'A': 1, 'B': 3, 'C': 3, 'D': 1}  [1.30 games/min]
[39/96] Doom Prevails rot3 c0 (D/A/B/C)  8g in 23.4m, censored 0, wins {'A': 3, 'B': 1, 'C': 3, 'D': 1}  [1.32 games/min]
[40/96] Doom Prevails rot3 c1 (D/A/B/C)  8g in 24.0m, censored 0, wins {'A': 3, 'B': 3, 'C': 1, 'D': 1}  [1.34 games/min]
[41/96] Tricky Terrain rot2 c1 (C/D/A/B)  8g in 156.0m, censored 7, wins {'A': 1, 'B': 0, 'C': 0, 'D': 0}  [1.36 games/min]
[42/96] Explorers of the Deep rot3 c0 (D/A/B/C)  8g in 74.5m, censored 2, wins {'A': 1, 'B': 3, 'C': 2, 'D': 0}  [1.39 games/min]
[43/96] Tricky Terrain rot1 c2 (B/C/D/A)  8g in 169.4m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.40 games/min]
[44/96] Tricky Terrain rot3 c2 (D/A/B/C)  8g in 153.5m, censored 7, wins {'A': 0, 'B': 1, 'C': 0, 'D': 0}  [1.41 games/min]
[45/96] Tricky Terrain rot2 c0 (C/D/A/B)  8g in 169.2m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.42 games/min]
[46/96] Tricky Terrain rot2 c2 (C/D/A/B)  8g in 169.9m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.43 games/min]
[47/96] Blight Curse rot1 c0 (B/C/D/A)  8g in 35.3m, censored 1, wins {'A': 0, 'B': 1, 'C': 4, 'D': 2}  [1.45 games/min]
[48/96] Blight Curse rot0 c0 (A/B/C/D)  8g in 40.6m, censored 0, wins {'A': 1, 'B': 1, 'C': 4, 'D': 2}  [1.48 games/min]
[49/96] Tricky Terrain rot3 c0 (D/A/B/C)  8g in 169.6m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.51 games/min]
[50/96] Tricky Terrain rot3 c1 (D/A/B/C)  8g in 169.5m, censored 8, wins {'A': 0, 'B': 0, 'C': 0, 'D': 0}  [1.51 games/min]
[51/96] Blight Curse rot0 c1 (A/B/C/D)  8g in 53.3m, censored 0, wins {'A': 1, 'B': 0, 'C': 2, 'D': 2}  [1.49 games/min]
[52/96] Blight Curse rot2 c0 (C/D/A/B)  8g in 46.9m, censored 1, wins {'A': 0, 'B': 2, 'C': 0, 'D': 4}  [1.47 games/min]
[53/96] Blight Curse rot3 c1 (D/A/B/C)  8g in 38.4m, censored 1, wins {'A': 4, 'B': 1, 'C': 2, 'D': 0}  [1.49 games/min]
[54/96] Blight Curse rot0 c2 (A/B/C/D)  8g in 64.4m, censored 2, wins {'A': 1, 'B': 2, 'C': 0, 'D': 3}  [1.51 games/min]
