shim      C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\pinned\simlab-forge-shim.jar (sha256 c50a9cc2c51d4634)
design    Graeco-Latin order 4: deck=r^s, arm=r^gf4(2s). Balanced.
groups    2 x 4 rotations x 12 chunks = 96 cells of 8 games
          768 games total, clock 1260s
already done 0, to run 96
estimate  110.3 h serial / 6.9 h at 16 workers, at the mirror's 517 s/game
plans     group 0 -> 4 decks
plans     group 1 -> 4 decks
[1/96] g0 rot0 c10 (A/C/D/B)  8g in 34.7m, censored 0, wins {'A': 2, 'B': 0, 'C': 2, 'D': 4}  [0.23 games/min]
[2/96] g0 rot0 c4 (A/C/D/B)  8g in 42.4m, censored 0, wins {'A': 3, 'B': 0, 'C': 5, 'D': 0}  [0.38 games/min]
[3/96] g0 rot0 c6 (A/C/D/B)  8g in 53.2m, censored 0, wins {'A': 2, 'B': 1, 'C': 2, 'D': 3}  [0.45 games/min]
[4/96] g0 rot0 c7 (A/C/D/B)  8g in 56.8m, censored 0, wins {'A': 4, 'B': 2, 'C': 1, 'D': 1}  [0.56 games/min]
[5/96] g0 rot0 c0 (A/C/D/B)  8g in 57.3m, censored 1, wins {'A': 0, 'B': 3, 'C': 3, 'D': 1}  [0.70 games/min]
[6/96] g0 rot0 c9 (A/C/D/B)  8g in 57.4m, censored 0, wins {'A': 3, 'B': 2, 'C': 2, 'D': 1}  [0.84 games/min]
[7/96] g0 rot0 c2 (A/C/D/B)  8g in 58.7m, censored 0, wins {'A': 1, 'B': 2, 'C': 1, 'D': 4}  [0.95 games/min]
[8/96] g0 rot0 c1 (A/C/D/B)  8g in 65.3m, censored 1, wins {'A': 4, 'B': 2, 'C': 0, 'D': 1}  [0.98 games/min]
[9/96] g0 rot0 c5 (A/C/D/B)  8g in 67.1m, censored 1, wins {'A': 2, 'B': 1, 'C': 2, 'D': 2}  [1.07 games/min]
[10/96] g0 rot1 c3 (B/D/C/A)  8g in 67.5m, censored 0, wins {'A': 1, 'B': 4, 'C': 1, 'D': 2}  [1.19 games/min]
[11/96] g0 rot1 c0 (B/D/C/A)  8g in 70.7m, censored 1, wins {'A': 1, 'B': 4, 'C': 1, 'D': 1}  [1.24 games/min]
[12/96] g0 rot0 c8 (A/C/D/B)  8g in 74.0m, censored 1, wins {'A': 4, 'B': 1, 'C': 2, 'D': 0}  [1.30 games/min]
[13/96] g0 rot0 c3 (A/C/D/B)  8g in 74.8m, censored 2, wins {'A': 0, 'B': 3, 'C': 1, 'D': 2}  [1.39 games/min]
[14/96] g0 rot1 c2 (B/D/C/A)  8g in 80.3m, censored 2, wins {'A': 2, 'B': 3, 'C': 1, 'D': 0}  [1.39 games/min]
[15/96] g0 rot0 c11 (A/C/D/B)  8g in 83.0m, censored 0, wins {'A': 1, 'B': 4, 'C': 3, 'D': 0}  [1.45 games/min]
[16/96] g0 rot1 c5 (B/D/C/A)  8g in 58.6m, censored 1, wins {'A': 1, 'B': 3, 'C': 1, 'D': 2}  [1.27 games/min]
[17/96] g0 rot1 c8 (B/D/C/A)  8g in 53.7m, censored 0, wins {'A': 1, 'B': 4, 'C': 0, 'D': 3}  [1.23 games/min]
[18/96] g0 rot1 c10 (B/D/C/A)  8g in 66.0m, censored 0, wins {'A': 2, 'B': 3, 'C': 1, 'D': 2}  [1.15 games/min]
[19/96] g0 rot1 c11 (B/D/C/A)  8g in 60.3m, censored 1, wins {'A': 2, 'B': 3, 'C': 0, 'D': 2}  [1.21 games/min]
[20/96] g0 rot1 c9 (B/D/C/A)  8g in 69.8m, censored 0, wins {'A': 1, 'B': 3, 'C': 3, 'D': 1}  [1.26 games/min]
[21/96] g0 rot1 c1 (B/D/C/A)  8g in 130.3m, censored 4, wins {'A': 1, 'B': 2, 'C': 0, 'D': 1}  [1.29 games/min]
[22/96] g0 rot2 c6 (C/A/B/D)  8g in 49.4m, censored 0, wins {'A': 1, 'B': 2, 'C': 3, 'D': 2}  [1.33 games/min]
[23/96] g0 rot1 c4 (B/D/C/A)  8g in 101.4m, censored 2, wins {'A': 1, 'B': 0, 'C': 2, 'D': 3}  [1.35 games/min]
[24/96] g0 rot2 c2 (C/A/B/D)  8g in 66.3m, censored 1, wins {'A': 1, 'B': 1, 'C': 1, 'D': 4}  [1.40 games/min]
[25/96] g0 rot1 c6 (B/D/C/A)  8g in 85.0m, censored 2, wins {'A': 0, 'B': 4, 'C': 0, 'D': 2}  [1.45 games/min]
[26/96] g0 rot1 c7 (B/D/C/A)  8g in 81.6m, censored 2, wins {'A': 0, 'B': 2, 'C': 1, 'D': 3}  [1.50 games/min]
[27/96] g0 rot2 c3 (C/A/B/D)  8g in 68.1m, censored 1, wins {'A': 3, 'B': 2, 'C': 1, 'D': 1}  [1.52 games/min]
[28/96] g0 rot2 c0 (C/A/B/D)  8g in 77.3m, censored 1, wins {'A': 1, 'B': 2, 'C': 2, 'D': 2}  [1.55 games/min]
[29/96] g0 rot2 c1 (C/A/B/D)  8g in 79.8m, censored 1, wins {'A': 1, 'B': 3, 'C': 1, 'D': 2}  [1.58 games/min]
[30/96] g0 rot2 c5 (C/A/B/D)  8g in 79.0m, censored 1, wins {'A': 3, 'B': 3, 'C': 0, 'D': 1}  [1.51 games/min]
[31/96] g0 rot2 c7 (C/A/B/D)  8g in 62.8m, censored 1, wins {'A': 1, 'B': 1, 'C': 3, 'D': 2}  [1.51 games/min]
[32/96] g0 rot2 c4 (C/A/B/D)  8g in 93.7m, censored 2, wins {'A': 1, 'B': 2, 'C': 1, 'D': 2}  [1.52 games/min]
[33/96] g0 rot3 c0 (D/B/A/C)  8g in 43.7m, censored 0, wins {'A': 5, 'B': 1, 'C': 2, 'D': 0}  [1.52 games/min]
[34/96] g0 rot3 c2 (D/B/A/C)  8g in 41.2m, censored 0, wins {'A': 5, 'B': 1, 'C': 1, 'D': 1}  [1.53 games/min]
[35/96] g0 rot2 c10 (C/A/B/D)  8g in 62.1m, censored 0, wins {'A': 2, 'B': 4, 'C': 1, 'D': 1}  [1.49 games/min]
[36/96] g0 rot2 c11 (C/A/B/D)  8g in 66.2m, censored 1, wins {'A': 1, 'B': 1, 'C': 4, 'D': 1}  [1.49 games/min]
[37/96] g0 rot2 c9 (C/A/B/D)  8g in 85.7m, censored 2, wins {'A': 0, 'B': 3, 'C': 1, 'D': 2}  [1.41 games/min]
[38/96] g0 rot3 c3 (D/B/A/C)  8g in 78.5m, censored 0, wins {'A': 2, 'B': 1, 'C': 4, 'D': 1}  [1.41 games/min]
[39/96] g0 rot3 c6 (D/B/A/C)  8g in 80.7m, censored 2, wins {'A': 4, 'B': 0, 'C': 2, 'D': 0}  [1.40 games/min]
[40/96] g0 rot3 c4 (D/B/A/C)  8g in 86.2m, censored 1, wins {'A': 1, 'B': 3, 'C': 3, 'D': 0}  [1.43 games/min]
[41/96] g0 rot3 c9 (D/B/A/C)  8g in 65.9m, censored 1, wins {'A': 1, 'B': 4, 'C': 2, 'D': 0}  [1.46 games/min]
[42/96] g0 rot3 c8 (D/B/A/C)  8g in 83.1m, censored 2, wins {'A': 1, 'B': 2, 'C': 3, 'D': 0}  [1.46 games/min]
[43/96] g0 rot3 c5 (D/B/A/C)  8g in 93.8m, censored 1, wins {'A': 2, 'B': 1, 'C': 3, 'D': 1}  [1.48 games/min]
[44/96] g1 rot0 c0 (A/C/D/B)  8g in 60.1m, censored 1, wins {'A': 1, 'B': 1, 'C': 4, 'D': 1}  [1.50 games/min]
[45/96] g0 rot3 c10 (D/B/A/C)  8g in 70.9m, censored 1, wins {'A': 2, 'B': 2, 'C': 2, 'D': 1}  [1.53 games/min]
[46/96] g1 rot0 c2 (A/C/D/B)  8g in 47.2m, censored 0, wins {'A': 2, 'B': 0, 'C': 4, 'D': 2}  [1.57 games/min]
[47/96] g0 rot3 c1 (D/B/A/C)  8g in 107.0m, censored 3, wins {'A': 3, 'B': 1, 'C': 0, 'D': 1}  [1.57 games/min]
[48/96] g0 rot2 c8 (C/A/B/D)  8g in 130.1m, censored 5, wins {'A': 0, 'B': 1, 'C': 2, 'D': 0}  [1.59 games/min]
[49/96] g0 rot3 c7 (D/B/A/C)  8g in 101.6m, censored 3, wins {'A': 4, 'B': 1, 'C': 0, 'D': 0}  [1.59 games/min]
[50/96] g1 rot0 c4 (A/C/D/B)  8g in 42.2m, censored 0, wins {'A': 0, 'B': 0, 'C': 6, 'D': 2}  [1.58 games/min]
[51/96] g1 rot0 c1 (A/C/D/B)  8g in 75.3m, censored 2, wins {'A': 2, 'B': 1, 'C': 3, 'D': 0}  [1.62 games/min]
[52/96] g1 rot0 c3 (A/C/D/B)  8g in 79.6m, censored 2, wins {'A': 0, 'B': 1, 'C': 2, 'D': 3}  [1.52 games/min]
[53/96] g0 rot3 c11 (D/B/A/C)  8g in 108.4m, censored 3, wins {'A': 1, 'B': 2, 'C': 1, 'D': 1}  [1.53 games/min]
[54/96] g1 rot0 c8 (A/C/D/B)  8g in 52.5m, censored 0, wins {'A': 0, 'B': 0, 'C': 6, 'D': 2}  [1.56 games/min]
[55/96] g1 rot0 c9 (A/C/D/B)  8g in 58.4m, censored 0, wins {'A': 3, 'B': 1, 'C': 2, 'D': 2}  [1.52 games/min]
[56/96] g1 rot0 c5 (A/C/D/B)  8g in 79.9m, censored 2, wins {'A': 1, 'B': 0, 'C': 1, 'D': 4}  [1.52 games/min]
[57/96] g1 rot0 c7 (A/C/D/B)  8g in 71.8m, censored 1, wins {'A': 2, 'B': 1, 'C': 3, 'D': 1}  [1.54 games/min]
[58/96] g1 rot1 c1 (B/D/C/A)  8g in 62.1m, censored 1, wins {'A': 1, 'B': 3, 'C': 0, 'D': 3}  [1.56 games/min]
[59/96] g1 rot0 c6 (A/C/D/B)  8g in 77.2m, censored 0, wins {'A': 3, 'B': 2, 'C': 1, 'D': 2}  [1.57 games/min]
[60/96] g1 rot1 c4 (B/D/C/A)  8g in 57.1m, censored 1, wins {'A': 1, 'B': 5, 'C': 0, 'D': 1}  [1.58 games/min]
[61/96] g1 rot0 c11 (A/C/D/B)  8g in 70.0m, censored 2, wins {'A': 0, 'B': 2, 'C': 4, 'D': 0}  [1.61 games/min]
[62/96] g1 rot1 c5 (B/D/C/A)  8g in 55.8m, censored 1, wins {'A': 3, 'B': 4, 'C': 0, 'D': 0}  [1.61 games/min]
[63/96] g1 rot1 c2 (B/D/C/A)  8g in 69.4m, censored 1, wins {'A': 1, 'B': 2, 'C': 1, 'D': 3}  [1.63 games/min]
[64/96] g1 rot1 c3 (B/D/C/A)  8g in 67.9m, censored 2, wins {'A': 2, 'B': 2, 'C': 0, 'D': 2}  [1.66 games/min]
[65/96] g1 rot1 c8 (B/D/C/A)  8g in 51.3m, censored 1, wins {'A': 3, 'B': 1, 'C': 2, 'D': 1}  [1.58 games/min]
[66/96] g1 rot1 c7 (B/D/C/A)  8g in 59.3m, censored 1, wins {'A': 2, 'B': 3, 'C': 2, 'D': 0}  [1.59 games/min]
[67/96] g1 rot1 c6 (B/D/C/A)  8g in 86.0m, censored 2, wins {'A': 3, 'B': 1, 'C': 0, 'D': 2}  [1.58 games/min]
[68/96] g1 rot1 c9 (B/D/C/A)  8g in 61.9m, censored 0, wins {'A': 3, 'B': 4, 'C': 0, 'D': 1}  [1.60 games/min]
[69/96] g1 rot0 c10 (A/C/D/B)  8g in 120.6m, censored 4, wins {'A': 0, 'B': 1, 'C': 3, 'D': 0}  [1.56 games/min]
[70/96] g1 rot1 c0 (B/D/C/A)  8g in 121.8m, censored 3, wins {'A': 1, 'B': 2, 'C': 2, 'D': 0}  [1.57 games/min]
[71/96] g1 rot2 c8 (C/A/B/D)  8g in 32.9m, censored 0, wins {'A': 0, 'B': 2, 'C': 2, 'D': 4}  [1.57 games/min]
[72/96] g1 rot2 c6 (C/A/B/D)  8g in 54.1m, censored 0, wins {'A': 0, 'B': 3, 'C': 4, 'D': 1}  [1.59 games/min]
[73/96] g1 rot1 c10 (B/D/C/A)  8g in 78.8m, censored 1, wins {'A': 1, 'B': 1, 'C': 2, 'D': 3}  [1.59 games/min]
[74/96] g1 rot1 c11 (B/D/C/A)  8g in 72.9m, censored 1, wins {'A': 4, 'B': 2, 'C': 1, 'D': 0}  [1.61 games/min]
[75/96] g1 rot2 c7 (C/A/B/D)  8g in 67.6m, censored 1, wins {'A': 0, 'B': 2, 'C': 1, 'D': 4}  [1.59 games/min]
[76/96] g1 rot2 c3 (C/A/B/D)  8g in 74.6m, censored 1, wins {'A': 0, 'B': 1, 'C': 3, 'D': 3}  [1.61 games/min]
[77/96] g1 rot2 c5 (C/A/B/D)  8g in 75.7m, censored 2, wins {'A': 0, 'B': 2, 'C': 1, 'D': 3}  [1.60 games/min]
[78/96] g1 rot2 c1 (C/A/B/D)  8g in 87.1m, censored 3, wins {'A': 0, 'B': 1, 'C': 0, 'D': 4}  [1.62 games/min]
[79/96] g1 rot2 c4 (C/A/B/D)  8g in 82.9m, censored 2, wins {'A': 1, 'B': 1, 'C': 2, 'D': 2}  [1.63 games/min]
[80/96] g1 rot2 c2 (C/A/B/D)  8g in 88.9m, censored 2, wins {'A': 0, 'B': 0, 'C': 3, 'D': 3}  [1.65 games/min]
[81/96] g1 rot2 c10 (C/A/B/D)  8g in 57.9m, censored 0, wins {'A': 0, 'B': 1, 'C': 4, 'D': 3}  [1.63 games/min]
[82/96] g1 rot2 c0 (C/A/B/D)  8g in 105.0m, censored 3, wins {'A': 2, 'B': 0, 'C': 2, 'D': 1}  [1.64 games/min]
[83/96] g1 rot2 c9 (C/A/B/D)  8g in 69.5m, censored 1, wins {'A': 2, 'B': 0, 'C': 2, 'D': 3}  [1.65 games/min]
[84/96] g1 rot2 c11 (C/A/B/D)  8g in 66.7m, censored 1, wins {'A': 2, 'B': 2, 'C': 2, 'D': 1}  [1.65 games/min]
[85/96] g1 rot3 c5 (D/B/A/C)  8g in 53.2m, censored 0, wins {'A': 2, 'B': 2, 'C': 2, 'D': 2}  [1.61 games/min]
[86/96] g1 rot3 c2 (D/B/A/C)  8g in 61.5m, censored 1, wins {'A': 1, 'B': 2, 'C': 0, 'D': 4}  [1.63 games/min]
[87/96] g1 rot3 c1 (D/B/A/C)  8g in 67.4m, censored 1, wins {'A': 4, 'B': 0, 'C': 2, 'D': 1}  [1.64 games/min]
[88/96] g1 rot3 c3 (D/B/A/C)  8g in 62.6m, censored 1, wins {'A': 1, 'B': 2, 'C': 3, 'D': 1}  [1.65 games/min]
[89/96] g1 rot3 c4 (D/B/A/C)  8g in 63.1m, censored 1, wins {'A': 2, 'B': 3, 'C': 1, 'D': 1}  [1.65 games/min]
[90/96] g1 rot3 c6 (D/B/A/C)  8g in 57.1m, censored 2, wins {'A': 3, 'B': 2, 'C': 0, 'D': 1}  [1.66 games/min]
[91/96] g1 rot3 c9 (D/B/A/C)  8g in 51.5m, censored 1, wins {'A': 2, 'B': 1, 'C': 2, 'D': 2}  [1.67 games/min]
[92/96] g1 rot3 c10 (D/B/A/C)  8g in 52.1m, censored 1, wins {'A': 3, 'B': 1, 'C': 1, 'D': 2}  [1.68 games/min]
[93/96] g1 rot3 c0 (D/B/A/C)  8g in 86.4m, censored 1, wins {'A': 2, 'B': 0, 'C': 3, 'D': 2}  [1.69 games/min]
[94/96] g1 rot3 c7 (D/B/A/C)  8g in 62.2m, censored 1, wins {'A': 3, 'B': 3, 'C': 1, 'D': 0}  [1.71 games/min]
[95/96] g1 rot3 c8 (D/B/A/C)  8g in 59.3m, censored 0, wins {'A': 2, 'B': 3, 'C': 3, 'D': 0}  [1.71 games/min]
[96/96] g1 rot3 c11 (D/B/A/C)  8g in 61.7m, censored 1, wins {'A': 4, 'B': 2, 'C': 0, 'D': 1}  [1.70 games/min]

done in 450.6 min (1.70 games/min)
results: C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\runs_hetero\results.jsonl
